CID,Name
21724304,Isobisabolene
21775889,[-]-Isoaromadendrene[V]
22169126,Pentadecanoate
22211636,beta-(Z)-Elemenone
22508511,Npc283692
22715389,22-Docosanolide
23425487,"[(E)-[(4aS,8aS)-2-formyl-5,5,8a-trimethyl-4a,6,7,8-tetrahydro-4H-naphthalen-1-ylidene]methyl] acetate"
23664772,Sodium octanoate
24771782,(+)-Germacrene D
24798702,"Cyclohexene, 4-((1Z)-1,5-dimethyl-1,4-hexadienyl)-1-methyl-, (4S)-"
24834047,Zedoarondiol
24836956,Neocurdione
25055438,"(1E,6E)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)hepta-1,6-diene-3,5-dione"
25202482,Sesquisabinene
25754115,ent-Isozedoaronediol
42077474,(4S)-4-(4-methylphenyl)pentan-2-one
42608155,"(1S,7R)-1-methyl-7-(3-oxobutyl)-4-propan-2-ylidenebicyclo[4.1.0]heptan-3-one"
42608158,Allo-Aromadendrene
42626427,(-)-cis-Sabinol
44582616,"(1E,6E)-1,7-bis(4-acetyl-3-methoxyphenyl)hepta-1,6-diene-3,5-dione"
44584667,"(1aR,4aR,7S,7aS,7bS)-1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa(e)azulene"
44629981,"(1E,6e)-1-(4-hydroxy-3-methoxyphenyl)-7-(3-methoxy-4-methylphenyl)-1,6-heptadiene-3,5-dione"
44630107,"(2S,4R)-1,7,7-trimethylbicyclo(2.2.1)heptan-2-ol"
44630108,Npc126240
45038803,Desoxyartemisinin
45108167,"Hydron;2,3,5,6-tetramethylpyrazine;chloride"
46234793,"Eicosenoic acid, (Z)-"
49777919,"4-[2,4-Dinitro-5-(2,4,6-trimethylphenoxy)anilino]benzonitrile"
49796490,"(6E,8S)-1-methyl-5-methylidene-8-propan-2-ylcyclodeca-1,6-diene"
53442582,"1-[3-(Dimethoxymethoxy)-4-hydroxyphenyl]-7-(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione"
53666293,"(1,7-Bis(4-hydroxyphenyl)-1-heptene-3,5-dione)"
53727372,(2-Methoxyethyl)silane
54217771,2-Methyl-6-(trans-4'-methylcyclohexyl)-2-hepten-4-one
54670067,L-Ascorbic Acid
54675850,Salicylate
56927990,7-Epi-sesquithujene
57336521,"(1S,2S,5S,9R)-2-methyl-6-methylidene-9-propan-2-yl-11-oxatricyclo[6.2.1.01,5]undecan-8-ol"
57386731,delta-Curcumene
58766541,"Disodium;2-methoxy-4-[7-(3-methoxy-4-oxidophenyl)-3,5-dioxohepta-1,6-dienyl]phenolate"
60110176,CID 60110176
66714850,2-Methylfuran-2-ol
66844903,"2-((2-((6-Bromohexyl)oxy)ethoxy)methyl)-1,3-dichlorobenzene"
67159878,Sabinene hydrate isomer
68548065,"1-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-6-heptene-3,5-dione"
68738786,"1-(4-Hydroxyphenyl)-7-(3,4-dihydroxyphenyl)-1,6-heptadiene-3,5-dione"
69879809,Cyclocurcumin
71346280,"1,4,6-Heptatrien-3-one, 1,7-bis(4-hydroxyphenyl)-, (1E,4E,6E)-"
71450687,Terpecurcumin F
71450688,Terpecurcumin C
71454270,Terpecurcumin D
71456030,Didemethoxybisabolocurcumin Ether
71457832,Terpecurcumin A
71459740,Demethoxybisabolocurcumin Ether
71459741,Terpecurcumin I
71459742,Terpecurcumin E
71459743,Terpecurcumin B
71461465,Terpecurcumin H
71463189,Bisabolocurcumin Ether
71694446,"(3R,5S,8E)-5,9,14-Trimethyl-4,12-dioxatricyclo[9.3.0.03,5]tetradeca-1(11),8,13-trien-2-one"
73318874,[4-(4-Hydroxyphenyl)-2-oxobut-3-enyl] 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate
73818349,"1,5-Dihydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadiene-3-one"
74764030,"(1E)-1-methyl-5-methylidene-8-propan-2-ylcyclodeca-1,6-diene"
75094027,"2-[2-(5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl)ethylidene]butanedial"
78200755,[4-(4-Hydroxy-3-methoxyphenyl)-2-oxobut-3-enyl] 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate
